,0,1,2,3,4,5,6,7,8,9,10,11,12
Row53,3.3796999999999995e-05,30663.0,3.3097e-05,3.6698e-05,30064.0,33133.0,2310600000.0,9183100.0,30487.0,347.48,121490.0,0.00095545,3.0
Row54,3.0905e-05,33153.0,3.0075e-05,3.4312e-05,32305.0,36643.0,2814900000.0,10537000.0,32953.0,361.98,131620.0,0.00096568,3.0
Row55,2.4683e-05,43984.0,2.4171999999999998e-05,2.6763e-05,43060.0,47786.0,3869000000.0,14171000.0,43602.0,413.43,173880.0,0.00082061,3.0
Row56,2.5171e-05,42536.0,2.4756999999999997e-05,2.6938000000000002e-05,41852.0,45394.0,3720700000.0,13593000.0,41989.0,406.78,167880.0,0.00082389,3.0
Row57,2.938e-05,38170.0,2.8797e-05,3.1748e-05,37346.0,41620.0,2623600000.0,10804000.0,37369.0,382.32,149970.0,0.00091757,3.0
Row58,3.6453000000000005e-05,28454.0,3.5971e-05,3.8382e-05,28098.0,29878.0,2038600000.0,8357200.0,28569.0,335.85,113480.0,0.00099041,3.0
Row59,4.0397e-05,26916.0,3.9828e-05,4.2736000000000006e-05,26575.0,28331.0,1588100000.0,7136700.0,26751.0,323.94,106490.0,0.0010373,3.0
Row60,3.4989e-05,29695.0,3.4246e-05,3.8095e-05,29067.0,32311.0,2171000000.0,8760900.0,29496.0,342.2,117860.0,0.00097351,3.0
Row61,3.091e-05,35174.0,3.0124e-05,3.4056e-05,34369.0,38392.0,2496400000.0,10223000.0,35865.0,372.27,141070.0,0.00087962,3.0
Row62,3.2936e-05,33811.0,3.2322e-05,3.5393000000000005e-05,33188.0,36302.0,2264700000.0,9614900.0,35014.0,365.22,136250.0,0.00093609,3.0
Row63,3.2878e-05,35951.0,3.2041999999999996e-05,3.6543e-05,35108.0,39591.0,2199500000.0,9714400.0,35723.0,370.07,142140.0,0.00090141,3.0
Row64,4.0419e-05,29086.0,3.9505e-05,4.4257e-05,28451.0,31722.0,1416300000.0,6993900.0,28948.0,333.32,115430.0,0.0010012,3.0
Row65,3.453e-05,33802.0,3.3876e-05,3.7285e-05,33108.0,36753.0,2083800000.0,9207400.0,34047.0,362.73,135810.0,0.00088729,3.0
Row66,3.1666e-05,34234.0,3.1151999999999996e-05,3.3828e-05,33661.0,36733.0,2689400000.0,10490000.0,34143.0,366.76,136320.0,0.00094447,3.0
Row67,3.103e-05,34760.0,3.066e-05,3.2526999999999995e-05,34372.0,36336.0,2811200000.0,10800000.0,34822.0,370.11,138660.0,0.00088682,3.0
Row68,4.2165e-05,26972.0,4.158e-05,4.4553e-05,26572.0,28600.0,1423500000.0,6717600.0,26997.0,322.85,106810.0,0.0010423,3.0
Row69,4.1511e-05,26842.0,4.0704e-05,4.491e-05,26335.0,29013.0,1337600000.0,6473000.0,26454.0,321.6,105940.0,0.001051,3.0
Row70,4.0416e-05,27037.0,3.9619e-05,4.3923999999999995e-05,26488.0,29427.0,1447800000.0,6792100.0,27051.0,324.42,107240.0,0.0010187000000000002,3.0
Row71,3.294e-05,31706.0,3.2315e-05,3.5566e-05,31085.0,34321.0,2363400000.0,9452300.0,31574.0,353.62,126080.0,0.00095304,3.0
Row72,4.7528e-05,22536.0,4.6711e-05,5.0963999999999995e-05,22140.0,24207.0,1132900000.0,5492500.0,22478.0,297.06,89351.0,0.0011422000000000001,3.0
Row73,4.9405e-05,22237.0,4.8641000000000004e-05,5.2508e-05,21878.0,23695.0,1025800000.0,5203100.0,22072.0,294.33,88171.0,0.0012050000000000001,3.0
Row74,4.7492e-05,22314.0,4.6413000000000004e-05,5.206e-05,21818.0,24472.0,1151000000.0,5526600.0,22174.0,295.77,88349.0,0.0011555,3.0
Row75,2.4005e-05,43959.0,2.3619000000000002e-05,2.5619e-05,43217.0,47158.0,4471900000.0,15344000.0,43707.0,416.14,174900.0,0.00081263,3.0
Row76,2.5546999999999998e-05,42715.0,2.5116999999999997e-05,2.7361999999999997e-05,41911.0,46127.0,4043400000.0,14417000.0,42809.0,409.51,170290.0,0.00081021,3.0
Row77,2.9083000000000003e-05,39729.0,2.8683000000000003e-05,3.0859000000000004e-05,38938.0,43428.0,3260300000.0,12564000.0,40406.0,395.23,160360.0,0.0008514,3.0
