,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Row11,2.6435e-05,39181.0,779.43,15.03,0.03292,0.97034,1.1253,2.5665999999999998e-05,2.9709e-05,37992.0,44169.0,265.23,125.3,0.80905,3556100000.0,12904000.0,8.8538,0.00086356,-0.00086302,0.19354000000000002,0.0029958000000000003,39158.0,393.83,156290.0,-0.0086555,125.3,-0.048413,0.028494,0.032735,0.9672,0.9981,0.00084764,3.2166e-08,7.7956e-12,1.1374000000000001e-07,-8.9333e-23,-4.3650000000000004e-16,1.9767000000000002e-22,1.0
Row12,2.4819e-05,40933.0,460.06,12.477,0.019141,0.97604,1.1004,2.4233000000000003e-05,2.7269e-05,39940.0,45095.0,76.979,159.02,0.49231,4452500000.0,14879000.0,9.872,0.001328,-0.0013267,0.18184,0.0047393,40877.0,404.08,163760.0,-0.013423,159.02,-0.044036,0.024736,0.035985,0.96368,0.99759,0.0008017000000000001,4.008e-09,1.7156e-12,1.4575e-07,-9.879899999999998e-23,4.0952999999999997e-16,8.454899999999999e-23,1.0
Row13,6.312100000000001e-05,17729.0,316.91,6.0129,0.012764,0.9884,1.0498,6.2278e-05,6.6639e-05,17544.0,18549.0,111.85,673.21,0.24948,718950000.0,3878300.0,20.392,0.0011432,-0.0011424000000000002,0.11017,0.0041356000000000006,17807.0,263.02,70303.0,-0.009484200000000002,673.21,-0.022333000000000002,0.043829,0.040095,0.9291799999999999,0.9900399999999999,0.0016158000000000001,7.240899999999999e-07,1.7155000000000001e-09,1.4735e-06,1.0402e-18,7.2143e-13,-3.0657e-20,1.0
Row14,6.3327e-05,18279.0,500.73,7.5964,0.020137000000000002,0.98908,1.0437,6.264e-05,6.6071e-05,18087.0,19049.0,209.66,784.98,0.34824,698250000.0,3853400.0,21.904,0.00074222,-0.00074187,0.10323,0.0030721999999999998,18132.0,264.37,71517.0,-0.007451999999999999,784.98,-0.020839,0.035764,0.032283,0.92461,0.9884700000000001,0.0014857999999999998,4.7849e-07,5.310700000000001e-10,1.193e-06,3.4583e-21,8.7343e-14,-5.3905e-20,1.0
Row15,6.0148e-05,20382.0,630.2,8.0542,0.025234,0.9907100000000001,1.0372,5.9665e-05,6.2084e-05,20186.0,21165.0,300.01,1072.6,0.35873,875120000.0,4569900.0,25.774,0.00056698,-0.00056678,0.090937,0.0016286999999999999,20281.0,278.94,80085.0,-0.0064521,1072.6,-0.017558,0.032902999999999995,0.02864,0.9129200000000001,0.98441,0.0015519,1.043e-06,5.5700999999999995e-11,1.4568e-06,3.5663000000000004e-21,1.0847e-13,5.6545e-21,1.0
Row16,4.8673999999999995e-05,25006.0,525.39,6.1242,0.020947,0.9922200000000001,1.0332,4.8318999999999996e-05,5.016e-05,24827.0,25782.0,420.51,1192.5,0.41367,1273200000.0,6116300.0,27.522,0.00064853,-0.00064827,0.08429,0.0029454999999999998,25062.0,309.53,98687.0,-0.0057916,1192.5,-0.016725,0.043526,0.03193,0.90755,0.9827,0.0010215,9.3222e-09,3.2563e-12,2.306e-07,3.0206e-22,1.0470999999999998e-15,4.281100000000001e-23,1.0
Row17,4.5768e-05,25721.0,691.87,7.9708,0.027832,0.98892,1.0443,4.528e-05,4.7717e-05,25438.0,26854.0,352.53,1158.6,0.37861,1400200000.0,6522900.0,26.574,0.00051289,-0.00051272,0.094123,0.002552,25606.0,315.33,102010.0,-0.0058222000000000005,1158.6,-0.01711,0.034008,0.027721,0.91074,0.98329,0.0010295,1.5197e-08,1.4155999999999999e-11,2.4254e-07,-7.2414e-22,6.945699999999999e-15,9.5524e-22,1.0
Row18,5.048399999999999e-05,23329.0,322.68,4.7104,0.012969,0.9890899999999999,1.047,4.9987e-05,5.2588999999999994e-05,23069.0,24465.0,238.19,1168.3,0.28968,1203000000.0,5761900.0,27.366,0.0010554,-0.0010547,0.089242,0.0040258,23460.0,301.14,92810.0,-0.0068018,1168.3,-0.01708,0.058740999999999995,0.041098,0.9079200000000001,0.98301,0.0011098,1.0064999999999999e-07,4.642899999999999e-11,4.2928999999999995e-07,1.9437e-21,2.961e-14,6.298399999999999e-21,1.0
Row19,5.3711e-05,21528.0,322.7,4.7735,0.013027,0.98762,1.0495,5.3082e-05,5.6225e-05,21269.0,22562.0,118.19,1093.0,0.17784,1067500000.0,5207700.0,26.006999999999998,0.001001,-0.0010004,0.093748,0.0032,21482.0,288.98,85080.0,-0.0080841,1093.0,-0.01779,0.05404,0.039602,0.9122299999999999,0.98416,0.0011425,3.3659e-08,1.85e-11,4.4494999999999997e-07,6.4009e-22,-4.4469e-15,5.6047e-22,1.0
Row20,5.3432e-05,21334.0,414.08,6.0864,0.016484,0.9928799999999999,1.0285,5.3077e-05,5.4848999999999996e-05,21184.0,21934.0,119.43,965.42,0.19837,1039900000.0,5095900.0,24.756,0.00081912,-0.00081871,0.089047,0.0025204999999999997,21177.0,287.3,83987.0,-0.0078812,965.42,-0.018677000000000003,0.042535,0.034888999999999996,0.9156799999999999,0.9858899999999999,0.0011539999999999999,2.5657e-08,6.6242e-11,4.3297e-07,-2.7088000000000003e-21,-4.0858e-15,-6.1954e-22,1.0
Row21,5.8992e-05,20290.0,418.82,5.7167,0.01665,0.9934,1.0264,5.8608999999999994e-05,6.0521000000000006e-05,20166.0,20787.0,119.56,1244.9,0.16115,923770000.0,4703300.0,27.997,0.0007827999999999999,-0.00078244,0.085646,0.0024938000000000004,20273.0,279.57,79889.0,-0.0072759,1244.9,-0.016437,0.044903,0.034575999999999996,0.90627,0.98201,0.0011857999999999999,3.6196e-08,3.5984000000000003e-11,2.9541e-07,-4.1474000000000004e-22,1.8891e-15,-8.8219e-22,1.0
Row22,4.2665e-05,25591.0,1987.7,28.363000000000003,0.081084,0.98364,1.0681,4.1981000000000003e-05,4.5502e-05,25171.0,27350.0,334.45,354.76,0.65349,1364200000.0,6400800.0,14.972000000000001,0.00037569,-0.00037559,0.13427999999999998,0.0014579,25380.0,315.59,101300.0,-0.0069001,354.76,-0.029267,0.012528000000000001,0.019072,0.9463600000000001,0.99467,0.0010293,6.3498e-09,6.0052e-12,3.0687e-07,-3.1452e-25,-8.6185e-19,4.8036e-25,1.0
